Module ID,Name (EN),Name (JP),Name (CN),Name (FR),Name (GE),Name (IT),Name (KR),Name (SP),Name (TW),Character,Source,COS ID,Item ID,Object(s),Type
18,Gothic,ゴシック,哥特风,Gothique,Gothic,Gotico,고딕,,Gothic,Miku,MM+,8,9,MIKITM009,Outfit (Outer)
18,Gothic,ゴシック,哥特风,Gothique,Gothic,Gotico,고딕,,Gothic,Miku,MM+,8,301,MIKITM301,Hands (Te)
18,Gothic,ゴシック,哥特风,Gothique,Gothic,Gotico,고딕,,Gothic,Miku,MM+,8,3009,MIKITM3009,Hair (Kami)
19,Princess,プリンセス,公主,Princesse,Prinzessin,Principessa,프린세스,,公主,Miku,MM+,9,10,MIKITM010,Outfit (Outer)
19,Princess,プリンセス,公主,Princesse,Prinzessin,Principessa,프린세스,,公主,Miku,MM+,9,310,MIKITM310,Hands (Te)
19,Princess,プリンセス,公主,Princesse,Prinzessin,Principessa,프린세스,,公主,Miku,MM+,9,720,MIKITM720,Hat (Zujo)
19,Princess,プリンセス,公主,Princesse,Prinzessin,Principessa,프린세스,,公主,Miku,MM+,9,3010,MIKITM3010,Hair (Kami)
20,Miko,ミコ,巫女,Miko,Miko,Miko,무녀,,MIKO,Miku,MM+,10,11,MIKITM011,Outfit (Outer)
20,Miko,ミコ,巫女,Miko,Miko,Miko,무녀,,MIKO,Miku,MM+,10,311,MIKITM311,Hands (Te)
20,Miko,ミコ,巫女,Miko,Miko,Miko,무녀,,MIKO,Miku,MM+,10,3011,MIKITM3011,Hair (Kami)
21,Kitty Cat,にゃんこ,猫咪,Chaton,Miezekatze,Gattina,고양이,,貓咪,Miku,MM+,11,12,MIKITM012,Outfit (Outer)
21,Kitty Cat,にゃんこ,猫咪,Chaton,Miezekatze,Gattina,고양이,,貓咪,Miku,MM+,11,312,MIKITM312,Hands (Te)
21,Kitty Cat,にゃんこ,猫咪,Chaton,Miezekatze,Gattina,고양이,,貓咪,Miku,MM+,11,713,MIKITM713,Hat (Zujo)
21,Kitty Cat,にゃんこ,猫咪,Chaton,Miezekatze,Gattina,고양이,,貓咪,Miku,MM+,11,775,MIKITM775,Back (Joha Ushiro)
21,Kitty Cat,にゃんこ,猫咪,Chaton,Miezekatze,Gattina,고양이,,貓咪,Miku,MM+,11,3012,MIKITM3012,Hair (Kami)
22,Sleepy Time,ねむねむ,睡意,Pyjama,Schlafenszeit,Sogni d'oro,잠잘 시간,,睏睏,Miku,MM+,12,13,MIKITM013,Outfit (Outer)
22,Sleepy Time,ねむねむ,睡意,Pyjama,Schlafenszeit,Sogni d'oro,잠잘 시간,,睏睏,Miku,MM+,12,313,MIKITM313,Hands (Te)
22,Sleepy Time,ねむねむ,睡意,Pyjama,Schlafenszeit,Sogni d'oro,잠잘 시간,,睏睏,Miku,MM+,12,3014,MIKITM3014,Hair (Kami)
23,Heart Hunter,ハートハンター,觅心猎手,Chasseuse de cœurs,Herzensbrecherin,Cacciatrice di cuori,하트 헌터,,Heart Hunter,Miku,MM+,13,14,MIKITM014,Outfit (Outer)
23,Heart Hunter,ハートハンター,觅心猎手,Chasseuse de cœurs,Herzensbrecherin,Cacciatrice di cuori,하트 헌터,,Heart Hunter,Miku,MM+,13,314,MIKITM314,Hands (Te)
23,Heart Hunter,ハートハンター,觅心猎手,Chasseuse de cœurs,Herzensbrecherin,Cacciatrice di cuori,하트 헌터,,Heart Hunter,Miku,MM+,13,506,MIKITM506,Hair (Kami)
23,Heart Hunter,ハートハンター,觅心猎手,Chasseuse de cœurs,Herzensbrecherin,Cacciatrice di cuori,하트 헌터,,Heart Hunter,Miku,MM+,13,776,MIKITM776,Back (Joha Ushiro)
24,Vocal,ボーカル,主唱,Vocal,Vocal,Canoro,보컬,,Vocal,Miku,MM+,14,15,MIKITM015,Outfit (Outer)
24,Vocal,ボーカル,主唱,Vocal,Vocal,Canoro,보컬,,Vocal,Miku,MM+,14,315,MIKITM315,Hands (Te)
24,Vocal,ボーカル,主唱,Vocal,Vocal,Canoro,보컬,,Vocal,Miku,MM+,14,507,MIKITM507,Hair (Kami)
25,Punk,パンク,朋克,Punk,Punk,Punk,펑크,,Punk,Miku,MM+,15,16,MIKITM016,Outfit (Outer)
25,Punk,パンク,朋克,Punk,Punk,Punk,펑크,,Punk,Miku,MM+,15,316,MIKITM316,Hands (Te)
25,Punk,パンク,朋克,Punk,Punk,Punk,펑크,,Punk,Miku,MM+,15,703,MIKITM703,Hat (Zujo)
25,Punk,パンク,朋克,Punk,Punk,Punk,펑크,,Punk,Miku,MM+,15,3016,MIKITM3016,Hair (Kami)
26,Dancer,ダンサー,舞者,Danseuse,Dancer,Ballerina,댄서,,Dancer,Miku,MM+,16,17,MIKITM017,Outfit (Outer)
26,Dancer,ダンサー,舞者,Danseuse,Dancer,Ballerina,댄서,,Dancer,Miku,MM+,16,317,MIKITM317,Hands (Te)
26,Dancer,ダンサー,舞者,Danseuse,Dancer,Ballerina,댄서,,Dancer,Miku,MM+,16,3017,MIKITM3017,Hair (Kami)
27,Star,スター,明星,Star,Star,Stella,스타,,Star,Miku,MM+,17,18,MIKITM018,Outfit (Outer)
27,Star,スター,明星,Star,Star,Stella,스타,,Star,Miku,MM+,17,318,MIKITM318,Hands (Te)
27,Star,スター,明星,Star,Star,Stella,스타,,Star,Miku,MM+,17,3018,MIKITM3018,Hair (Kami)
28,Fairy,フェアリー,妖精,Fée,Fee,Fatina,페어리,,Fairy,Miku,MM+,18,19,MIKITM019,Outfit (Outer)
28,Fairy,フェアリー,妖精,Fée,Fee,Fatina,페어리,,Fairy,Miku,MM+,18,319,MIKITM319,Hands (Te)
28,Fairy,フェアリー,妖精,Fée,Fee,Fatina,페어리,,Fairy,Miku,MM+,18,508,MIKITM508,Hair (Kami)
29,School,スクール,登校,Uniforme scolaire,Back to school,Scuola,스쿨,,School,Miku,MM+,19,20,MIKITM020,Outfit (Outer)
29,School,スクール,登校,Uniforme scolaire,Back to school,Scuola,스쿨,,School,Miku,MM+,19,301,MIKITM301,Hands (Te)
29,School,スクール,登校,Uniforme scolaire,Back to school,Scuola,스쿨,,School,Miku,MM+,19,3020,MIKITM3020,Hair (Kami)
30,Snow,スノウ,落雪,Hiver,Snow,Neve,스노우,,Snow,Miku,MM+,20,21,MIKITM021,Outfit (Outer)
30,Snow,スノウ,落雪,Hiver,Snow,Neve,스노우,,Snow,Miku,MM+,20,321,MIKITM321,Hands (Te)
30,Snow,スノウ,落雪,Hiver,Snow,Neve,스노우,,Snow,Miku,MM+,20,704,MIKITM704,Hat (Zujo)
30,Snow,スノウ,落雪,Hiver,Snow,Neve,스노우,,Snow,Miku,MM+,20,3021,MIKITM3021,Hair (Kami)
31,Arabian,アラビアン,阿拉伯风情,Tenue orientale,1001 Nacht,Arabo,아라비안,,阿拉伯,Miku,MM+,21,22,MIKITM022,Outfit (Outer)
31,Arabian,アラビアン,阿拉伯风情,Tenue orientale,1001 Nacht,Arabo,아라비안,,阿拉伯,Miku,MM+,21,322,MIKITM322,Hands (Te)
31,Arabian,アラビアン,阿拉伯风情,Tenue orientale,1001 Nacht,Arabo,아라비안,,阿拉伯,Miku,MM+,21,3022,MIKITM3022,Hair (Kami)
32,Miyabi,みやび,风雅,Miyabi,Miyabi,Raffinato,미야비,,典雅,Miku,MM+,22,23,MIKITM023,Outfit (Outer)
32,Miyabi,みやび,风雅,Miyabi,Miyabi,Raffinato,미야비,,典雅,Miku,MM+,22,323,MIKITM323,Hands (Te)
32,Miyabi,みやび,风雅,Miyabi,Miyabi,Raffinato,미야비,,典雅,Miku,MM+,22,3023,MIKITM3023,Hair (Kami)
33,Chinese Debut,チャイナ,中华风,Tenue panda,Fernöstliche Schönheit,Debutto cinese,차이나,,熊貓旗袍,Miku,MM+,23,24,MIKITM024,Outfit (Outer)
33,Chinese Debut,チャイナ,中华风,Tenue panda,Fernöstliche Schönheit,Debutto cinese,차이나,,熊貓旗袍,Miku,MM+,23,301,MIKITM301,Hands (Te)
33,Chinese Debut,チャイナ,中华风,Tenue panda,Fernöstliche Schönheit,Debutto cinese,차이나,,熊貓旗袍,Miku,MM+,23,777,MIKITM777,Back (Joha Ushiro)
33,Chinese Debut,チャイナ,中华风,Tenue panda,Fernöstliche Schönheit,Debutto cinese,차이나,,熊貓旗袍,Miku,MM+,23,3024,MIKITM3024,Hair (Kami)
34,Magician,マジシャン,魔术师,Magicienne,Magierin,Maghetta,매지션,,魔術師,Miku,MM+,24,25,MIKITM025,Outfit (Outer)
34,Magician,マジシャン,魔术师,Magicienne,Magierin,Maghetta,매지션,,魔術師,Miku,MM+,24,325,MIKITM325,Hands (Te)
34,Magician,マジシャン,魔术师,Magicienne,Magierin,Maghetta,매지션,,魔術師,Miku,MM+,24,509,MIKITM509,Hair (Kami)
34,Magician,マジシャン,魔术师,Magicienne,Magierin,Maghetta,매지션,,魔術師,Miku,MM+,24,705,MIKITM705,Hat (Zujo)
35,White Dress,ホワイトドレス,洁白裙摆,Robe blanche,Traum in Weiß,Abito bianco,화이트 드레스,,White Dress,Miku,MM+,25,26,MIKITM026,Outfit (Outer)
35,White Dress,ホワイトドレス,洁白裙摆,Robe blanche,Traum in Weiß,Abito bianco,화이트 드레스,,White Dress,Miku,MM+,25,326,MIKITM326,Hands (Te)
35,White Dress,ホワイトドレス,洁白裙摆,Robe blanche,Traum in Weiß,Abito bianco,화이트 드레스,,White Dress,Miku,MM+,25,504,MIKITM504,Hair (Kami)
36,Pirate,パイレーツ,海盗,Pirate,Piratin,Pirata,파이러트,,海盜,Miku,MM+,26,27,MIKITM027,Outfit (Outer)
36,Pirate,パイレーツ,海盗,Pirate,Piratin,Pirata,파이러트,,海盜,Miku,MM+,26,327,MIKITM327,Hands (Te)
36,Pirate,パイレーツ,海盗,Pirate,Piratin,Pirata,파이러트,,海盜,Miku,MM+,26,706,MIKITM706,Hat (Zujo)
36,Pirate,パイレーツ,海盗,Pirate,Piratin,Pirata,파이러트,,海盜,Miku,MM+,26,3027,MIKITM3027,Hair (Kami)
37,VN02,VN02,VN02,VN02,VN02,VN02,VN02,,VN02,Miku,MM+,27,28,MIKITM028,Outfit (Outer)
37,VN02,VN02,VN02,VN02,VN02,VN02,VN02,,VN02,Miku,MM+,27,301,MIKITM301,Hands (Te)
37,VN02,VN02,VN02,VN02,VN02,VN02,VN02,,VN02,Miku,MM+,27,3028,MIKITM3028,Hair (Kami)
38,Galaxy,ギャラクシー,银河,Galaxie,Galaktisch,Galassia,갤럭시,,Galaxy,Miku,MM+,28,29,MIKITM029,Outfit (Outer)
38,Galaxy,ギャラクシー,银河,Galaxie,Galaktisch,Galassia,갤럭시,,Galaxy,Miku,MM+,28,329,MIKITM329,Hands (Te)
38,Galaxy,ギャラクシー,银河,Galaxie,Galaktisch,Galassia,갤럭시,,Galaxy,Miku,MM+,28,3029,MIKITM3029,Hair (Kami)
39,Ha2ne Miku,ハツネミク,初音 未来,Ha2ne Miku,Ha2ne Miku,Ha2ne Miku,하츠네 미9,,初音咪庫,Miku,MM+,31,32,MIKITM032,Outfit (Outer)
39,Ha2ne Miku,ハツネミク,初音 未来,Ha2ne Miku,Ha2ne Miku,Ha2ne Miku,하츠네 미9,,初音咪庫,Miku,MM+,31,332,MIKITM332,Hands (Te)
39,Ha2ne Miku,ハツネミク,初音 未来,Ha2ne Miku,Ha2ne Miku,Ha2ne Miku,하츠네 미9,,初音咪庫,Miku,MM+,31,3032,MIKITM3032,Hair (Kami)
40,Kagamine Rin,鏡音リン,镜音铃,Kagamine Rin,Kagamine Rin,Kagamine Rin,카가미네 린,,鏡音鈴,Rin,MM+,0,1,RINITM001,Outfit (Outer)
40,Kagamine Rin,鏡音リン,镜音铃,Kagamine Rin,Kagamine Rin,Kagamine Rin,카가미네 린,,鏡音鈴,Rin,MM+,0,301,RINITM301,Hands (Te)
40,Kagamine Rin,鏡音リン,镜音铃,Kagamine Rin,Kagamine Rin,Kagamine Rin,카가미네 린,,鏡音鈴,Rin,MM+,0,500,RINITM500,Hair (Kami)
40,Kagamine Rin,鏡音リン,镜音铃,Kagamine Rin,Kagamine Rin,Kagamine Rin,카가미네 린,,鏡音鈴,Rin,MM+,0,701,RINITM701,Hat (Zujo)
41,Kagamine Len,鏡音レン,镜音连,Kagamine Len,Kagamine Len,Kagamine Len,카가미네 렌,,鏡音連,Len,MM+,0,1,LENITM001,Outfit (Outer)
41,Kagamine Len,鏡音レン,镜音连,Kagamine Len,Kagamine Len,Kagamine Len,카가미네 렌,,鏡音連,Len,MM+,0,301,LENITM301,Hands (Te)
41,Kagamine Len,鏡音レン,镜音连,Kagamine Len,Kagamine Len,Kagamine Len,카가미네 렌,,鏡音連,Len,MM+,0,500,LENITM500,Hair (Kami)
42,Megurine Luka,巡音ルカ,巡音流歌,Megurine Luka,Megurine Luka,Megurine Luka,메구리네 루카,,巡音流歌,Luka,MM+,0,1,LUKITM001,Outfit (Outer)
42,Megurine Luka,巡音ルカ,巡音流歌,Megurine Luka,Megurine Luka,Megurine Luka,메구리네 루카,,巡音流歌,Luka,MM+,0,301,LUKITM301,Hands (Te)
42,Megurine Luka,巡音ルカ,巡音流歌,Megurine Luka,Megurine Luka,Megurine Luka,메구리네 루카,,巡音流歌,Luka,MM+,0,500,LUKITM500,Hair (Kami)
43,Sakine Meiko,咲音メイコ,咲音MEIKO,Sakine Meiko,Sakine Meiko,Sakine Meiko,사키네 메이코,,咲音MEIKO,Sakine,MM+,0,1,SAKITM001,Outfit (Outer)
43,Sakine Meiko,咲音メイコ,咲音MEIKO,Sakine Meiko,Sakine Meiko,Sakine Meiko,사키네 메이코,,咲音MEIKO,Sakine,MM+,0,301,SAKITM301,Hands (Te)
43,Sakine Meiko,咲音メイコ,咲音MEIKO,Sakine Meiko,Sakine Meiko,Sakine Meiko,사키네 메이코,,咲音MEIKO,Sakine,MM+,0,500,SAKITM500,Hair (Kami)
44,MEIKO Original,メイコ オリジナル,MEIKO 原版,MEIKO (original),MEIKO　- Original,MEIKO originale,메이코 오리지널,,MEIKO Original,Meiko,MM+,0,1,MEIITM001,Outfit (Outer)
44,MEIKO Original,メイコ オリジナル,MEIKO 原版,MEIKO (original),MEIKO　- Original,MEIKO originale,메이코 오리지널,,MEIKO Original,Meiko,MM+,0,301,MEIITM301,Hands (Te)
44,MEIKO Original,メイコ オリジナル,MEIKO 原版,MEIKO (original),MEIKO　- Original,MEIKO originale,메이코 오리지널,,MEIKO Original,Meiko,MM+,0,500,MEIITM500,Hair (Kami)
45,KAITO Original,カイト オリジナル,KAITO 原版,KAITO (original),KAITO　- Original,KAITO originale,카이토 오리지널,,KAITO Original,Kaito,MM+,0,1,KAIITM001,Outfit (Outer)
45,KAITO Original,カイト オリジナル,KAITO 原版,KAITO (original),KAITO　- Original,KAITO originale,카이토 오리지널,,KAITO Original,Kaito,MM+,0,301,KAIITM301,Hands (Te)
45,KAITO Original,カイト オリジナル,KAITO 原版,KAITO (original),KAITO　- Original,KAITO originale,카이토 오리지널,,KAITO Original,Kaito,MM+,0,500,KAIITM500,Hair (Kami)
46,Hatsune Miku Swimwear S,初音ミク スイムウェアS,初音未来 泳装S,Hatsune Miku (maillot de bain　S),Hatsune Miku　- Badeanzug,Hatsune Miku in costume S,하츠네 미쿠 수영복 S,,初音未來 泳裝S,Miku,MM+,29,30,MIKITM030,Outfit (Outer)
46,Hatsune Miku Swimwear S,初音ミク スイムウェアS,初音未来 泳装S,Hatsune Miku (maillot de bain　S),Hatsune Miku　- Badeanzug,Hatsune Miku in costume S,하츠네 미쿠 수영복 S,,初音未來 泳裝S,Miku,MM+,29,301,MIKITM301,Hands (Te)
46,Hatsune Miku Swimwear S,初音ミク スイムウェアS,初音未来 泳装S,Hatsune Miku (maillot de bain　S),Hatsune Miku　- Badeanzug,Hatsune Miku in costume S,하츠네 미쿠 수영복 S,,初音未來 泳裝S,Miku,MM+,29,3030,MIKITM3030,Hair (Kami)
47,Hatsune Miku Swimwear,初音ミク スイムウェア,初音未来 泳装,Hatsune Miku (maillot de bain),Hatsune Miku　- Bikini,Hatsune Miku in costume,하츠네 미쿠 수영복,,初音未來 泳裝,Miku,MM+,30,31,MIKITM031,Outfit (Outer)
47,Hatsune Miku Swimwear,初音ミク スイムウェア,初音未来 泳装,Hatsune Miku (maillot de bain),Hatsune Miku　- Bikini,Hatsune Miku in costume,하츠네 미쿠 수영복,,初音未來 泳裝,Miku,MM+,30,301,MIKITM301,Hands (Te)
47,Hatsune Miku Swimwear,初音ミク スイムウェア,初音未来 泳装,Hatsune Miku (maillot de bain),Hatsune Miku　- Bikini,Hatsune Miku in costume,하츠네 미쿠 수영복,,初音未來 泳裝,Miku,MM+,30,3030,MIKITM3030,Hair (Kami)
48,Kagamine Rin Swimwear,鏡音リン スイムウェア,镜音铃 泳装,Kagamine Rin (maillot de bain),Kagamine Rin　- Bikini,Kagamine Rin in costume,카가미네 린 수영복,,鏡音鈴 泳裝,Rin,MM+,1,2,RINITM002,Outfit (Outer)
48,Kagamine Rin Swimwear,鏡音リン スイムウェア,镜音铃 泳装,Kagamine Rin (maillot de bain),Kagamine Rin　- Bikini,Kagamine Rin in costume,카가미네 린 수영복,,鏡音鈴 泳裝,Rin,MM+,1,301,RINITM301,Hands (Te)
48,Kagamine Rin Swimwear,鏡音リン スイムウェア,镜音铃 泳装,Kagamine Rin (maillot de bain),Kagamine Rin　- Bikini,Kagamine Rin in costume,카가미네 린 수영복,,鏡音鈴 泳裝,Rin,MM+,1,702,RINITM702,Hat (Zujo)
